University,City,State,White,Hispanic/Latino,Black African American,Two or more races,Asian,Race Ethnicity Unknown,Non-Resident Alien,American Indian/Alaskan Native,Native Hawaiian/Pacific Islander
Huston-Tillotson University,Austin,TX,5.0%,23.0%,67.0%,,,,4.0%,,
Hutchinson Community College,Hutchinson,KS,71.0%,11.0%,5.0%,3.0%,,7.0%,,,
Houston Baptist University,Houston,TX,26.0%,33.0%,18.0%,4.0%,10.0%,5.0%,3.0%,,
Hawkeye Community College,Waterloo,IA,81.0%,4.0%,11.0%,3.0%,2.0%,,,,
Hennepin Technical College,Brooklyn Park,MN,53.0%,8.0%,22.0%,3.0%,10.0%,2.0%,,,
Bellevue University,Bellevue,NE,60.0%,5.0%,11.0%,2.0%,2.0%,18.0%,3.0%,,
Brazosport College,Lake Jackson,TX,50.0%,37.0%,8.0%,,,4.0%,,,
Benedictine College,Atchison,KS,78.0%,6.0%,3.0%,,,9.0%,2.0%,,
Texas A&M University-Baylor College of Dentistry,Dallas,TX,64.0%,14.0%,7.0%,,12.0%,3.0%,,,
University of West Florida,Pensacola,FL,65.0%,9.0%,13.0%,5.0%,3.0%,2.0%,2.0%,,
University of Maryland: Baltimore County,Baltimore,MD,43.0%,7.0%,18.0%,4.0%,21.0%,4.0%,4.0%,,
Coastal Carolina University,Conway,SC,67.0%,4.0%,20.0%,5.0%,,,1.0%,,
University of South Carolina: Aiken,Aiken,SC,58.0%,4.0%,27.0%,4.0%,,1.0%,4.0%,,
American Indian College of the Assemblies of God,Phoenix,AZ,8.0%,19.0%,12.0%,,,,,55.0%,6.0%
Warner Pacific College,Portland,OR,43.0%,23.0%,12.0%,4.0%,7.0%,6.0%,2.0%,2.0%,1.0%
Azusa Pacific University,Azusa,CA,41.0%,31.0%,5.0%,8.0%,9.0%,2.0%,3.0%,,1.0%
Pacific Lutheran University,Tacoma,WA,66.0%,8.0%,3.0%,8.0%,9.0%,1.0%,3.0%,,1.0%
Pacific Union College,Angwin,CA,26.0%,28.0%,9.0%,7.0%,20.0%,5.0%,3.0%,,2.0%
Pacific University,Forest Grove,OR,52.0%,13.0%,2.0%,12.0%,12.0%,4.0%,2.0%,,3.0%
Palo Verde College,Blythe,CA,29.0%,45.0%,12.0%,2.0%,5.0%,5.0%,,1.0%,
Point Loma Nazarene University,San Diego,CA,55.0%,24.0%,2.0%,7.0%,6.0%,2.0%,1.0%,,1.0%
Virginia State University,Petersburg,VA,3.0%,2.0%,85.0%,,,9.0%,,,
Virginia Union University,Richmond,VA,,1.0%,96.0%,,,1.0%,,,
Voorhees College,Denmark,SC,2.0%,1.0%,93.0%,,,3.0%,,,
Norfolk State University,Norfolk,VA,5.0%,3.0%,83.0%,3.0%,,4.0%,,,
University of Texas Health Science Center at San Antonio,San Antonio,TX,45.0%,36.0%,4.0%,3.0%,7.0%,3.0%,1.0%,,
Virginia Wesleyan College,Norfolk,VA,51.0%,8.0%,25.0%,6.0%,1.0%,6.0%,,1.0%,
Virginia Western Community College,Roanoke,VA,75.0%,3.0%,15.0%,3.0%,3.0%,,,,
Valencia College,Orlando,FL,33.0%,34.0%,18.0%,2.0%,4.0%,5.0%,2.0%,,
Gulf Coast State College,Panama City,FL,71.0%,6.0%,12.0%,4.0%,3.0%,3.0%,,1.0%,
Jones College,Jacksonville,FL,18.0%,4.0%,73.0%,3.0%,,2.0%,,,
Laurel University,High Point,NC,29.0%,5.0%,16.0%,,,50.0%,,,
James Sprunt Community College,Kenansville,NC,50.0%,18.0%,29.0%,2.0%,,,,,
Johnston Community College,Smithfield,NC,60.0%,13.0%,13.0%,2.0%,,9.0%,1.0%,,
Western International University,Tempe,AZ,45.0%,17.0%,19.0%,5.0%,2.0%,11.0%,,2.0%,
Abraham Baldwin Agricultural College,Tifton,GA,79.0%,6.0%,12.0%,,1.0%,,,1.0%,
Middle Georgia Technical College,Warner Robins,GA,50.0%,3.0%,42.0%,1.0%,1.0%,2.0%,,,
Agnes Scott College,Decatur,GA,35.0%,10.0%,30.0%,6.0%,8.0%,2.0%,9.0%,,
North Carolina Agricultural and Technical State University,Greensboro,NC,4.0%,2.0%,81.0%,3.0%,,6.0%,2.0%,,
Albany State University,Albany,GA,5.0%,2.0%,90.0%,1.0%,,2.0%,,,
Alderson-Broaddus University,Philippi,WV,73.0%,4.0%,16.0%,1.0%,1.0%,,5.0%,,
Augsburg College,Minneapolis,MN,47.0%,7.0%,11.0%,2.0%,7.0%,21.0%,3.0%,1.0%,
Augustana University,Sioux Falls,SD,84.0%,2.0%,2.0%,2.0%,,,8.0%,,
Austin College,Sherman,TX,52.0%,19.0%,8.0%,3.0%,14.0%,,3.0%,1.0%,
Riverland Community College,Austin,MN,78.0%,11.0%,5.0%,2.0%,1.0%,,2.0%,,
Anoka-Ramsey Community College,Coon Rapids,MN,76.0%,4.0%,7.0%,4.0%,5.0%,4.0%,,,
Angelina College,Lufkin,TX,58.0%,24.0%,13.0%,3.0%,1.0%,,,,
Arkansas State University: Beebe,Beebe,AR,81.0%,5.0%,7.0%,5.0%,,,,,
Baker University,Baldwin City,KS,69.0%,8.0%,11.0%,3.0%,,3.0%,2.0%,2.0%,
Baylor University,Waco,TX,64.0%,15.0%,7.0%,5.0%,6.0%,,3.0%,,
Southeastern Baptist Theological Seminary,Wake Forest,NC,86.0%,3.0%,5.0%,,3.0%,3.0%,,,
Laguna College of Art and Design,Laguna Beach,CA,50.0%,19.0%,2.0%,3.0%,18.0%,4.0%,2.0%,,
Regent University,Virginia Beach,VA,54.0%,7.0%,28.0%,5.0%,2.0%,1.0%,,,
College of New Rochelle: School of New Resources,New Rochelle,NY,3.0%,15.0%,81.0%,,,,,,
Columbia College Hollywood,Tarzana,CA,44.0%,25.0%,19.0%,2.0%,3.0%,1.0%,6.0%,,
Illinois Eastern Community Colleges: Frontier Community College,Fairfield,IL,97.0%,,,,,,,,
Palau Community College,Koror,PW,,,,,,,,,99.0%
Institute of American Indian Arts,Santa Fe,NM,6.0%,5.0%,,,,3.0%,2.0%,83.0%,
O'More College of Design,Franklin,TN,84.0%,3.0%,5.0%,,2.0%,3.0%,1.0%,1.0%,
Coahoma Community College,Clarksdale,MS,4.0%,,94.0%,,,2.0%,,,
Mount St. Joseph University,Cincinnati,OH,78.0%,1.0%,11.0%,4.0%,,5.0%,,,
University of St. Francis,Joliet,IL,63.0%,20.0%,8.0%,4.0%,2.0%,,3.0%,,
Ohio Dominican University,Columbus,OH,58.0%,3.0%,21.0%,5.0%,1.0%,9.0%,2.0%,,
Franciscan University of Steubenville,Steubenville,OH,82.0%,11.0%,,2.0%,2.0%,2.0%,,,
Luna Community College,Las Vegas,NM,18.0%,77.0%,1.0%,,,2.0%,,,
St. Charles Community College,Cottleville,MO,78.0%,5.0%,6.0%,4.0%,2.0%,3.0%,2.0%,,
City University of Seattle,Seattle,WA,42.0%,3.0%,5.0%,,4.0%,36.0%,7.0%,,
Casper College,Casper,WY,84.0%,7.0%,1.0%,3.0%,,2.0%,,,
Central Washington University,Ellensburg,WA,59.0%,14.0%,4.0%,7.0%,4.0%,9.0%,3.0%,,
North Shore Community College,Danvers,MA,57.0%,25.0%,9.0%,3.0%,5.0%,,,,
Northwestern Connecticut Community College,Winsted,CT,85.0%,8.0%,2.0%,1.0%,1.0%,3.0%,,,
Asnuntuck Community College,Enfield,CT,61.0%,13.0%,18.0%,3.0%,3.0%,2.0%,,,
New England College,Henniker,NH,53.0%,8.0%,24.0%,2.0%,1.0%,7.0%,4.0%,,
New England Conservatory of Music,Boston,MA,38.0%,4.0%,3.0%,5.0%,7.0%,4.0%,38.0%,,
Southern Connecticut State University,New Haven,CT,55.0%,14.0%,17.0%,3.0%,4.0%,7.0%,,,
University of New Haven,West Haven,CT,62.0%,10.0%,11.0%,2.0%,3.0%,5.0%,8.0%,,
Nichols College,Dudley,MA,80.0%,7.0%,8.0%,3.0%,1.0%,,2.0%,,
Northeastern University,Boston,MA,48.0%,7.0%,4.0%,4.0%,13.0%,5.0%,19.0%,,
Norwich University,Northfield,VT,73.0%,9.0%,5.0%,5.0%,3.0%,3.0%,1.0%,,
Gallipolis Career College,Gallipolis,OH,93.0%,,7.0%,,,,,,
Lawrence University,Appleton,WI,68.0%,8.0%,4.0%,3.0%,5.0%,,11.0%,,
Lawrence Technological University,Southfield,MI,64.0%,4.0%,6.0%,2.0%,2.0%,4.0%,16.0%,,
Lee University,Cleveland,TN,80.0%,3.0%,6.0%,2.0%,,4.0%,4.0%,,
LeMoyne-Owen College,Memphis,TN,,,98.0%,,,,,,
Lewis University,Romeoville,IL,62.0%,19.0%,6.0%,3.0%,4.0%,4.0%,1.0%,,
Lincoln Christian University,Lincoln,IL,80.0%,3.0%,7.0%,,1.0%,2.0%,4.0%,1.0%,
Lindsey Wilson College,Columbia,KY,67.0%,1.0%,9.0%,2.0%,,20.0%,,,
Loyola University Chicago,Chicago,IL,56.0%,15.0%,5.0%,4.0%,12.0%,1.0%,5.0%,,
Lansing Community College,Lansing,MI,67.0%,7.0%,11.0%,3.0%,3.0%,6.0%,1.0%,,
Lorain County Community College,Elyria,OH,73.0%,10.0%,9.0%,3.0%,1.0%,1.0%,,,
Lake Superior State University,Sault Ste. Marie,MI,79.0%,2.0%,1.0%,,,1.0%,7.0%,8.0%,
Lakeland Community College,Kirtland,OH,76.0%,3.0%,13.0%,2.0%,1.0%,3.0%,,,
St. Lawrence University,Canton,NY,79.0%,4.0%,3.0%,2.0%,2.0%,,8.0%,,
Saint Peter's University,Jersey City,NJ,16.0%,41.0%,23.0%,2.0%,7.0%,9.0%,2.0%,,
St. Thomas Aquinas College,Sparkill,NY,50.0%,24.0%,11.0%,,3.0%,8.0%,3.0%,,
St. Vincent College,Latrobe,PA,85.0%,3.0%,5.0%,,2.0%,4.0%,,,
Sarah Lawrence College,Bronxville,NY,52.0%,9.0%,4.0%,7.0%,5.0%,9.0%,14.0%,,
Seton Hall University,South Orange,NJ,50.0%,18.0%,12.0%,3.0%,9.0%,6.0%,2.0%,,
Manhattan School of Music,New York,NY,32.0%,7.0%,3.0%,6.0%,9.0%,6.0%,38.0%,,
Manhattanville College,Purchase,NY,44.0%,18.0%,8.0%,2.0%,1.0%,17.0%,8.0%,,
The New School College of Performing Arts,New York,NY,42.0%,11.0%,6.0%,4.0%,4.0%,4.0%,29.0%,,
Marist College,Poughkeepsie,NY,77.0%,10.0%,4.0%,2.0%,3.0%,1.0%,2.0%,,
Marymount Manhattan College,New York,NY,58.0%,17.0%,10.0%,1.0%,4.0%,5.0%,5.0%,,
Marywood University,Scranton,PA,78.0%,6.0%,3.0%,2.0%,2.0%,7.0%,1.0%,,
Alvernia University,Reading,PA,67.0%,9.0%,11.0%,2.0%,2.0%,10.0%,,,
Northwestern College,Chicago,IL,19.0%,16.0%,44.0%,13.0%,2.0%,6.0%,,,
University of Evansville,Evansville,IN,71.0%,4.0%,3.0%,2.0%,2.0%,3.0%,15.0%,,
Enterprise State Community College,Enterprise,AL,65.0%,6.0%,23.0%,3.0%,2.0%,,,,
Lake Area Technical Institute,Watertown,SD,92.0%,2.0%,,,,2.0%,,2.0%,
Guam Community College,Barrigada,GU,2.0%,,1.0%,,42.0%,,,,54.0%
Andrews University,Berrien Springs,MI,28.0%,15.0%,19.0%,4.0%,15.0%,3.0%,17.0%,,
Faulkner University,Montgomery,AL,41.0%,2.0%,50.0%,2.0%,,,2.0%,,
Fortis Institute: Erie,Erie,PA,70.0%,4.0%,12.0%,2.0%,,11.0%,,,
SUNY College of Technology at Canton,Canton,NY,67.0%,11.0%,14.0%,2.0%,,2.0%,2.0%,2.0%,
SUNY College of Agriculture and Technology at Cobleskill,Cobleskill,NY,70.0%,5.0%,13.0%,8.0%,2.0%,,,,
SUNY College of Technology at Delhi,Delhi,NY,61.0%,14.0%,17.0%,,4.0%,3.0%,,,
SUNY Farmingdale State College,Farmingdale,NY,59.0%,18.0%,10.0%,2.0%,8.0%,,2.0%,,
SUNY College of Agriculture and Technology at Morrisville,Morrisville,NY,67.0%,8.0%,19.0%,2.0%,1.0%,1.0%,1.0%,,
Nazarene Bible College,Colorado Springs,CO,77.0%,9.0%,7.0%,3.0%,2.0%,,,,
South Puget Sound Community College,Olympia,WA,64.0%,9.0%,3.0%,9.0%,5.0%,7.0%,,1.0%,1.0%
Occidental College,Los Angeles,CA,50.0%,15.0%,5.0%,8.0%,14.0%,2.0%,6.0%,,
MiraCosta College,Oceanside,CA,41.0%,36.0%,3.0%,8.0%,5.0%,2.0%,5.0%,,
Olympic College,Bremerton,WA,73.0%,8.0%,5.0%,,10.0%,,2.0%,2.0%,
Orange Coast College,Costa Mesa,CA,35.0%,32.0%,2.0%,4.0%,21.0%,3.0%,4.0%,,
Western Oregon University,Monmouth,OR,66.0%,11.0%,4.0%,,4.0%,5.0%,5.0%,2.0%,2.0%
Oregon State University,Corvallis,OR,65.0%,9.0%,1.0%,7.0%,7.0%,2.0%,7.0%,,
College of Southern Idaho,Twin Falls,ID,68.0%,24.0%,1.0%,2.0%,,3.0%,,,
Ohio University: Zanesville Campus,Zanesville,OH,88.0%,1.0%,4.0%,4.0%,,2.0%,,,
Nashville State Community College,Nashville,TN,52.0%,7.0%,32.0%,4.0%,4.0%,,,,
Roane State Community College,Harriman,TN,90.0%,2.0%,3.0%,2.0%,,1.0%,,,
University of Wisconsin-Richland,Richland Center,WI,92.0%,,5.0%,,2.0%,,,,
University of Rio Grande,Rio Grande,OH,81.0%,1.0%,5.0%,,,10.0%,2.0%,,
Ripon College,Ripon,WI,83.0%,6.0%,2.0%,2.0%,1.0%,,4.0%,,
Rockford University,Rockford,IL,68.0%,14.0%,10.0%,3.0%,2.0%,,3.0%,,
Roosevelt University,Chicago,IL,47.0%,19.0%,20.0%,3.0%,5.0%,2.0%,3.0%,,
Dominican University,River Forest,IL,35.0%,48.0%,7.0%,,3.0%,2.0%,3.0%,,
Rose-Hulman Institute of Technology,Terre Haute,IN,71.0%,4.0%,2.0%,4.0%,4.0%,,13.0%,,
Rust College,Holly Springs,MS,,,96.0%,,,,3.0%,,
Feather River College,Quincy,CA,56.0%,18.0%,14.0%,,3.0%,4.0%,3.0%,2.0%,1.0%
George Fox University,Newberg,OR,68.0%,11.0%,2.0%,6.0%,4.0%,3.0%,4.0%,,
Maria College,Albany,NY,55.0%,4.0%,10.0%,1.0%,4.0%,26.0%,,,
Middlesex County College,Edison,NJ,29.0%,31.0%,11.0%,3.0%,15.0%,7.0%,2.0%,,
Mercer County Community College,Trenton,NJ,38.0%,20.0%,22.0%,3.0%,7.0%,5.0%,4.0%,,
Montgomery County Community College,Blue Bell,PA,58.0%,7.0%,15.0%,3.0%,6.0%,8.0%,2.0%,,
College of Wooster,Wooster,OH,67.0%,5.0%,8.0%,,5.0%,2.0%,11.0%,1.0%,
Columbia College Chicago,Chicago,IL,55.0%,13.0%,14.0%,5.0%,3.0%,6.0%,3.0%,,
Cambridge College,Cambridge,MA,17.0%,31.0%,37.0%,3.0%,3.0%,,9.0%,,
College for Creative Studies,Detroit,MI,58.0%,4.0%,10.0%,4.0%,6.0%,12.0%,7.0%,,
Auburn University at Montgomery,Montgomery,AL,51.0%,1.0%,36.0%,3.0%,2.0%,,4.0%,,
Central Alabama Community College,Alexander City,AL,72.0%,1.0%,25.0%,,,,,,
Bevill State Community College,Jasper,AL,81.0%,2.0%,14.0%,,,1.0%,,,
Aquinas College,Nashville,TN,75.0%,4.0%,6.0%,4.0%,3.0%,4.0%,4.0%,,
Blackhawk Technical College,Janesville,WI,78.0%,10.0%,6.0%,2.0%,1.0%,2.0%,,,
Bowling Green State University: Firelands College,Huron,OH,81.0%,6.0%,6.0%,4.0%,,2.0%,,,
Bellin College,Green Bay,WI,94.0%,2.0%,,,1.0%,,,,
Bay College,Escanaba,MI,88.0%,2.0%,,4.0%,,,,4.0%,
Baldwin Wallace University,Berea,OH,78.0%,5.0%,10.0%,5.0%,2.0%,,,,
Bowling Green State University,Bowling Green,OH,77.0%,4.0%,10.0%,4.0%,,2.0%,2.0%,,
Central Wyoming College,Riverton,WY,71.0%,9.0%,2.0%,3.0%,,2.0%,,13.0%,
University of the Southwest,Hobbs,NM,16.0%,49.0%,11.0%,,,24.0%,,,
College of the Canyons,Santa Clarita,CA,34.0%,48.0%,4.0%,4.0%,9.0%,,,,
Front Range Community College,Westminster,CO,70.0%,14.0%,2.0%,4.0%,3.0%,4.0%,2.0%,,
Coleman University,San Diego,CA,46.0%,16.0%,9.0%,1.0%,15.0%,10.0%,,1.0%,2.0%
Carroll Community College,Westminster,MD,84.0%,4.0%,4.0%,3.0%,2.0%,2.0%,,,
Truett McConnell University,Cleveland,GA,81.0%,6.0%,8.0%,,,2.0%,2.0%,,
Toccoa Falls College,Toccoa Falls,GA,72.0%,4.0%,7.0%,2.0%,8.0%,6.0%,1.0%,,
University of Maryland: University College,Adelphi,MD,41.0%,13.0%,26.0%,4.0%,5.0%,8.0%,1.0%,,
United States Coast Guard Academy,New London,CT,67.0%,10.0%,4.0%,8.0%,7.0%,2.0%,2.0%,,
United States Naval Academy,Annapolis,MD,64.0%,11.0%,7.0%,8.0%,7.0%,1.0%,1.0%,,
University of Baltimore,Baltimore,MD,34.0%,5.0%,47.0%,4.0%,5.0%,2.0%,2.0%,,
University of Delaware,Newark,DE,75.0%,7.0%,5.0%,3.0%,5.0%,,4.0%,,
Catholic University of America,Washington,DC,65.0%,13.0%,5.0%,5.0%,4.0%,3.0%,5.0%,,
Golden Gate University,San Francisco,CA,26.0%,19.0%,10.0%,3.0%,12.0%,23.0%,4.0%,,3.0%
Gonzaga University,Spokane,WA,72.0%,10.0%,1.0%,6.0%,5.0%,3.0%,1.0%,,
Westmont College,Santa Barbara,CA,61.0%,16.0%,2.0%,6.0%,8.0%,3.0%,3.0%,,
Southern New Hampshire University,Manchester,NH,77.0%,4.0%,3.0%,2.0%,2.0%,5.0%,7.0%,,
Life University,Marietta,GA,44.0%,13.0%,26.0%,,2.0%,8.0%,5.0%,3.0%,
Northwest Vista College,San Antonio,TX,24.0%,64.0%,6.0%,4.0%,2.0%,,,,
Pulaski Technical College,North Little Rock,AR,40.0%,6.0%,47.0%,3.0%,1.0%,2.0%,,,
Beacon College,Leesburg,FL,67.0%,5.0%,16.0%,4.0%,3.0%,,3.0%,1.0%,
Adventist University of Health Sciences,Orlando,FL,43.0%,23.0%,14.0%,2.0%,7.0%,9.0%,,,
Southern Regional Technical College,Thomasville,GA,59.0%,8.0%,30.0%,,,,,,
Blue River Community College,Independence,MO,77.0%,7.0%,6.0%,6.0%,1.0%,2.0%,,,
Danville Area Community College,Danville,IL,72.0%,5.0%,14.0%,,1.0%,8.0%,,,
Lipscomb University,Nashville,TN,76.0%,6.0%,7.0%,3.0%,3.0%,2.0%,3.0%,,
Delta State University,Cleveland,MS,57.0%,2.0%,36.0%,,,,3.0%,,
Denison University,Granville,OH,66.0%,9.0%,7.0%,4.0%,4.0%,2.0%,9.0%,,
DePaul University,Chicago,IL,55.0%,18.0%,8.0%,4.0%,8.0%,4.0%,3.0%,,
DePauw University,Greencastle,IN,69.0%,5.0%,6.0%,6.0%,3.0%,2.0%,8.0%,,
Chippewa Valley Technical College,Eau Claire,WI,84.0%,2.0%,2.0%,2.0%,5.0%,4.0%,,,
Wright State University,Dayton,OH,73.0%,4.0%,12.0%,4.0%,3.0%,,4.0%,,
Columbia College,Columbia,MO,76.0%,2.0%,3.0%,5.0%,1.0%,3.0%,9.0%,,
Clarke University,Dubuque,IA,82.0%,6.0%,5.0%,2.0%,1.0%,,,,1.0%
Coe College,Cedar Rapids,IA,73.0%,9.0%,7.0%,3.0%,2.0%,3.0%,3.0%,,
Coffeyville Community College,Coffeyville,KS,50.0%,6.0%,23.0%,7.0%,,6.0%,3.0%,5.0%,
Pamlico Community College,Grantsboro,NC,59.0%,5.0%,30.0%,3.0%,,,,2.0%,
Paine College,Augusta,GA,2.0%,2.0%,88.0%,2.0%,,2.0%,3.0%,,
Coleman University: San Marcos,San Marcos,CA,36.0%,16.0%,12.0%,,9.0%,25.0%,1.0%,,
Palm Beach State College,Lake Worth,FL,33.0%,29.0%,26.0%,2.0%,3.0%,4.0%,2.0%,,
Johns Hopkins University: Peabody Conservatory of Music,Baltimore,MD,47.0%,4.0%,5.0%,,26.0%,,17.0%,1.0%,
William Peace University,Raleigh,NC,46.0%,7.0%,32.0%,2.0%,2.0%,10.0%,,1.0%,
University of North Carolina at Pembroke,Pembroke,NC,37.0%,5.0%,36.0%,3.0%,2.0%,2.0%,,15.0%,
Daytona State College,Daytona Beach,FL,64.0%,17.0%,13.0%,3.0%,2.0%,,,,
Georgia Perimeter College,Clarkston,GA,26.0%,9.0%,45.0%,4.0%,9.0%,,6.0%,,
University of North Carolina at Charlotte,Charlotte,NC,59.0%,9.0%,16.0%,4.0%,6.0%,3.0%,2.0%,,
Chipola College,Marianna,FL,70.0%,3.0%,15.0%,8.0%,,1.0%,,,
Chowan University,Murfreesboro,NC,16.0%,4.0%,70.0%,3.0%,,4.0%,3.0%,,
The Citadel,Charleston,SC,76.0%,7.0%,9.0%,4.0%,2.0%,,,,
Claflin University,Orangeburg,SC,2.0%,2.0%,92.0%,,,,4.0%,,
Clark Atlanta University,Atlanta,GA,,,83.0%,,,12.0%,4.0%,,
Clemson University,Clemson,SC,83.0%,4.0%,7.0%,3.0%,2.0%,,,,
Coker College,Hartsville,SC,52.0%,3.0%,34.0%,5.0%,,3.0%,2.0%,,
College of Charleston,Charleston,SC,79.0%,5.0%,8.0%,4.0%,2.0%,1.0%,,,
Notre Dame of Maryland University,Baltimore,MD,52.0%,7.0%,27.0%,,8.0%,1.0%,2.0%,1.0%,
College of William and Mary,Williamsburg,VA,59.0%,9.0%,7.0%,5.0%,8.0%,6.0%,6.0%,,
Columbia International University,Columbia,SC,73.0%,4.0%,11.0%,2.0%,2.0%,3.0%,5.0%,,
Clearwater Christian College,Clearwater,FL,75.0%,12.0%,7.0%,3.0%,2.0%,,1.0%,,
Chesapeake College,Wye Mills,MD,67.0%,6.0%,17.0%,2.0%,1.0%,4.0%,1.0%,,
College of Southern Maryland,La Plata,MD,59.0%,6.0%,25.0%,5.0%,3.0%,2.0%,,,
Westminster College,New Wilmington,PA,71.0%,1.0%,5.0%,2.0%,1.0%,18.0%,,,
Wilkes University,Wilkes Barre,PA,72.0%,7.0%,5.0%,3.0%,3.0%,2.0%,8.0%,,
West Virginia Junior College: Charleston,Charleston,WV,78.0%,,19.0%,,,,,,
Post University,Waterbury,CT,40.0%,6.0%,9.0%,1.0%,,41.0%,1.0%,,
Quinnipiac University,Hamden,CT,76.0%,9.0%,5.0%,2.0%,3.0%,3.0%,2.0%,,
Quincy College,Quincy,MA,43.0%,7.0%,25.0%,2.0%,6.0%,9.0%,8.0%,,
Quinsigamond Community College,Worcester,MA,57.0%,18.0%,12.0%,2.0%,5.0%,5.0%,,,
Quinebaug Valley Community College,Danielson,CT,73.0%,15.0%,2.0%,5.0%,2.0%,3.0%,,,
Regis College,Weston,MA,49.0%,11.0%,19.0%,1.0%,4.0%,12.0%,2.0%,,
Design Institute of San Diego,San Diego,CA,56.0%,17.0%,5.0%,,11.0%,,8.0%,,
Rhode Island College,Providence,RI,61.0%,17.0%,9.0%,2.0%,3.0%,7.0%,,,
Rhode Island School of Design,Providence,RI,32.0%,8.0%,3.0%,5.0%,20.0%,5.0%,27.0%,,
Rivier University,Nashua,NH,78.0%,4.0%,4.0%,3.0%,3.0%,8.0%,,,
Roger Williams University,Bristol,RI,77.0%,6.0%,3.0%,2.0%,1.0%,7.0%,4.0%,,
Palo Alto College,San Antonio,TX,17.0%,78.0%,3.0%,2.0%,,,,,
Castleton University,Castleton,VT,85.0%,2.0%,2.0%,2.0%,,6.0%,2.0%,,
Johnson State College,Johnson,VT,81.0%,3.0%,3.0%,3.0%,1.0%,7.0%,,1.0%,
Stonehill College,Easton,MA,83.0%,5.0%,5.0%,2.0%,2.0%,2.0%,,,
Suffolk University,Boston,MA,44.0%,11.0%,6.0%,2.0%,8.0%,6.0%,22.0%,,
Johnson & Wales University: North Miami,North Miami,FL,22.0%,23.0%,34.0%,7.0%,,5.0%,9.0%,,
University of Guam,Mangilao,GU,3.0%,,,,41.0%,2.0%,,,51.0%
Augustana College,Rock Island,IL,75.0%,10.0%,4.0%,3.0%,2.0%,,5.0%,,
Delaware Technical Community College: Jack F. Owens Campus,Georgetown,DE,64.0%,9.0%,18.0%,3.0%,2.0%,,3.0%,,
Community College of Baltimore County - Dundalk,Baltimore,MD,61.0%,2.0%,31.0%,,4.0%,,2.0%,,
Bluefield College,Bluefield,VA,62.0%,4.0%,23.0%,3.0%,,2.0%,4.0%,,
Bluefield State College,Bluefield,WV,86.0%,,8.0%,2.0%,,,2.0%,,
Brenau University,Gainesville,GA,51.0%,8.0%,32.0%,3.0%,2.0%,2.0%,2.0%,,
Delaware State University,Dover,DE,11.0%,6.0%,75.0%,4.0%,,,2.0%,,
Salish Kootenai College,Pablo,MT,21.0%,2.0%,,,,,,76.0%,
Pennsylvania College of Technology,Williamsport,PA,89.0%,4.0%,3.0%,2.0%,,,,,
Yeshiva University,New York,NY,94.0%,,,,,1.0%,4.0%,,
York College of Pennsylvania,York,PA,82.0%,6.0%,5.0%,4.0%,2.0%,1.0%,,,
City University of New York: York College,Jamaica,NY,7.0%,22.0%,41.0%,,25.0%,,5.0%,,
Albertus Magnus College,New Haven,CT,36.0%,18.0%,34.0%,,,8.0%,2.0%,,
American International College,Springfield,MA,38.0%,16.0%,25.0%,2.0%,1.0%,13.0%,4.0%,,
New York University,New York,NY,36.0%,12.0%,5.0%,4.0%,20.0%,9.0%,15.0%,,
Nassau Community College,Garden City,NY,37.0%,27.0%,23.0%,,6.0%,4.0%,,,
Niagara County Community College,Sanborn,NY,75.0%,4.0%,14.0%,,1.0%,5.0%,,2.0%,
Montana State University,Bozeman,MT,84.0%,4.0%,,4.0%,,2.0%,3.0%,2.0%,
University of Montana,Missoula,MT,77.0%,4.0%,,4.0%,1.0%,8.0%,2.0%,3.0%,
Mount Saint Mary's University,Los Angeles,CA,9.0%,63.0%,6.0%,2.0%,15.0%,3.0%,,,
Mount San Antonio College,Walnut,CA,11.0%,62.0%,4.0%,3.0%,17.0%,,2.0%,,
Mohave Community College,Kingman,AZ,67.0%,23.0%,1.0%,3.0%,2.0%,1.0%,,2.0%,
Sacred Heart University,Fairfield,CT,73.0%,10.0%,4.0%,2.0%,2.0%,8.0%,1.0%,,
University of Massachusetts Dartmouth,Dartmouth,MA,64.0%,8.0%,14.0%,3.0%,4.0%,5.0%,1.0%,,
Springfield Technical Community College,Springfield,MA,48.0%,29.0%,16.0%,2.0%,3.0%,,,,
South Texas College,McAllen,TX,3.0%,94.0%,,,,2.0%,,,
Rush University,Chicago,IL,44.0%,25.0%,12.0%,3.0%,7.0%,5.0%,,2.0%,
Clark University,Worcester,MA,57.0%,7.0%,4.0%,2.0%,7.0%,7.0%,14.0%,,
University of Wisconsin-Waukesha,Waukesha,WI,88.0%,4.0%,4.0%,,3.0%,,,,
Great Falls College Montana State University,Great Falls,MT,79.0%,6.0%,2.0%,5.0%,,2.0%,,5.0%,
Academy of Art University,San Francisco,CA,20.0%,12.0%,7.0%,3.0%,7.0%,22.0%,29.0%,,
Vaughn College of Aeronautics and Technology,Flushing,NY,14.0%,34.0%,19.0%,3.0%,10.0%,15.0%,4.0%,,2.0%
Bryn Athyn College,Bryn Athyn,PA,67.0%,9.0%,19.0%,,2.0%,,2.0%,,
Adelphi University,Garden City,NY,52.0%,16.0%,10.0%,2.0%,10.0%,6.0%,3.0%,,
Alfred University,Alfred,NY,66.0%,8.0%,10.0%,3.0%,2.0%,10.0%,2.0%,,
